investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
Micelio Mobility,,,,,The ePlane Company,Electric Aircraft,Series B,14000000.0,Chennai,
Naval Ravikant,,,,,The ePlane Company,Electric Aircraft,Series B,14000000.0,Chennai,
Prosus Ventures,,,,,Equal,Data-sharing & Identity Verification,Series A,10000000.0,Hyderabad,
Tomales Bay Capital,,,,,Equal,Data-sharing & Identity Verification,Series A,10000000.0,Hyderabad,
Keshav Reddy,,,,,Equal,Data-sharing & Identity Verification,Series A,10000000.0,Hyderabad,
Fenice Investment Group,,,,,Ennoventure,Brand Protection & Authentication,Series A,8900000.0,Bengaluru,
SAFE Investors,,,,,Ennoventure,Brand Protection & Authentication,Series A,8900000.0,Bengaluru,
V3 Ventures,,,,,Ugaoo,Houseplants & Urban Gardening,Series A,47.0,Pune,
RPG Ventures,,,,,Ugaoo,Houseplants & Urban Gardening,Series A,47.0,Pune,
360 ONE Asset,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Funstop Games,Casual Gaming,Series A,5000000.0,Delhi,
8vc,,,,,Thesys,AI Software,Seed Funding,4000000.0,Chennai,
Peak XV Surge,,,,,BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Bengaluru,
Gaurav Munjal,,,,,BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Bengaluru,
Aakash Anand,,,,,BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Bengaluru,
Dhruv Vohra,,,,,BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Bengaluru,
Leo Capital,,,,,Zeplyn,Wealth Management Software,Seed Funding,3000000.0,New York (Mumbai),
Converge,,,,,Zeplyn,Wealth Management Software,Seed Funding,3000000.0,New York (Mumbai),
Angels,,,,,Zeplyn,Wealth Management Software,Seed Funding,3000000.0,New York (Mumbai),
VC Funds,,,,,Zeplyn,Wealth Management Software,Seed Funding,3000000.0,New York (Mumbai),
Market One Capital,,IN/AIF1/17-18/0321,Category I,,Connecty AI,Enterprise AI Solutions,Pre-seed Round,1800000.0,"San Francisco, United States",
Notion Capital,,,,,Connecty AI,Enterprise AI Solutions,Pre-seed Round,1800000.0,"San Francisco, United States",
Marcin Zukowski,,,,,Connecty AI,Enterprise AI Solutions,Pre-seed Round,1800000.0,"San Francisco, United States",
Maciej Zawadzinski,,,,,Connecty AI,Enterprise AI Solutions,Pre-seed Round,1800000.0,"San Francisco, United States",
gradCapital,,,,,Airbound,Drone Technology,Seed Round,1700000.0,Mumbai,
Angel Investors,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Airbound,Drone Technology,Seed Round,1700000.0,Mumbai,
Tomorrow Capital,,,,,India IVF,Tech-enabled Fertility Platform,Pre-Series A,1240000.0,Gurugram,
Piper Serica Angel Fund,,,,,DesignX,Shopfloor Hyper-automation,Pre-Series A,1000000.0,Noida,
VC Grid,,,,,Pikndel,Same-day Delivery Service,Seed Round,1000000.0,New Delhi,
D2C Insider Angels,,,,,Pikndel,Same-day Delivery Service,Seed Round,1000000.0,New Delhi,
Breathe Capital,,,,,Pikndel,Same-day Delivery Service,Seed Round,1000000.0,New Delhi,
industry leaders,,,,,Pikndel,Same-day Delivery Service,Seed Round,1000000.0,New Delhi,
family offices,,,,,Pikndel,Same-day Delivery Service,Seed Round,1000000.0,New Delhi,
IIM Udaipur Incubation Centre,,,,,LegalKart,Legal Consultation,Funding Round,6.5,Gurugram,
Aevitas Capital,,,,,LegalKart,Legal Consultation,Funding Round,6.5,Gurugram,
Shift Alt Cap,,,,,LegalKart,Legal Consultation,Funding Round,6.5,Gurugram,
Physis Capital,,,,,Creanovation Technologies Pvt. Ltd,Admissions as a Service,Funding Round,5.0,Gurugram,
Ranjan Pai’s family office,,,,,Easy Home Finance,Home Financing,Fresh Funding Round,35000000.0,Mumbai,
Claypond Capital,,,,,Easy Home Finance,Home Financing,Fresh Funding Round,35000000.0,Mumbai,
Sumitomo Mitsui Banking Corporation’s Asia Rising Fund,,,,,Easy Home Finance,Home Financing,Fresh Funding Round,35000000.0,Mumbai,
Bharat Value Fund (BVF),,,,,Haldiram Bhujiawala,Snacks,Minority Stake,235.0,Kolkata,
managed by Pantomath Capital Management,,,,,Haldiram Bhujiawala,Snacks,Minority Stake,235.0,Kolkata,
Round2 Capital,,,,,EvoluteIQ,Tech Solutions,Equity and Debt Funding Round,20000000.0,Bengaluru (Regstd Indian Office),
Nordea Growth Fund,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,EvoluteIQ,Tech Solutions,Equity and Debt Funding Round,20000000.0,Bengaluru (Regstd Indian Office),
Dcap Select,,,,,EvoluteIQ,Tech Solutions,Equity and Debt Funding Round,20000000.0,Bengaluru (Regstd Indian Office),
PH Ventures,,,,,EvoluteIQ,Tech Solutions,Equity and Debt Funding Round,20000000.0,Bengaluru (Regstd Indian Office),
SMBC Asia Rising Fund,,,,,MODIFI,B2B BNPL,New Funding Round,15000000.0,New Delhi,
Maersk,,,,,MODIFI,B2B BNPL,New Funding Round,15000000.0,New Delhi,
Intesa Sanpaolo,,,,,MODIFI,B2B BNPL,New Funding Round,15000000.0,New Delhi,
Heliad,,,,,MODIFI,B2B BNPL,New Funding Round,15000000.0,New Delhi,
Pavestone,,,,,CynLr,Deep-tech Robotics,Series A,10000000.0,Bengaluru,
Athera Venture Partners,,,,,CynLr,Deep-tech Robotics,Series A,10000000.0,Bengaluru,
Infoedge (Redstart),,,,,CynLr,Deep-tech Robotics,Series A,10000000.0,Bengaluru,
and other investors,,,,,CynLr,Deep-tech Robotics,Series A,10000000.0,Bengaluru,
Mounttech Growth Fund,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,GalaxEye,Spacetech,Funding Participation,10000000.0,Bengaluru,
Lok Capital,,,,,Marut Dronetech,Drone-tech,Series A,6200000.0,Hyderabad,
Srikanth Reddy,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Snehith Reddy,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Phani Ramineni,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Rohan Bajaj syndicate,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Sarthy Angels,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Bestvantage,,,,,Hala Mobility,EV-as-a-Service,Pre-Series A,51.0,Telangana,
Blacksoil (Debt),,,,,The Hosteller,Backpacker Hostel,Equity and Debt,48.0,Mumbai,
Arpit Khandelwal,,,,,CastNX,Deep-tech in Power Electronics,Investment,23.22,"Dewas, Madhya Pradesh",
Plutus Investments,,,,,CastNX,Deep-tech in Power Electronics,Investment,23.22,"Dewas, Madhya Pradesh",
Holding Private Limited,,,,,CastNX,Deep-tech in Power Electronics,Investment,23.22,"Dewas, Madhya Pradesh",
Endiya Partners,,,,,Pulse,SaaS AI Platform,Seed Round,1400000.0,Chennai,
Zluri founders,,,,,Pulse,SaaS AI Platform,Seed Round,1400000.0,Chennai,
Yellow.ai founders,,,,,Pulse,SaaS AI Platform,Seed Round,1400000.0,Chennai,
other angel investors,,,,,Pulse,SaaS AI Platform,Seed Round,1400000.0,Chennai,
SanchiConnect,,,,,Induz,Data Security,New Funding Round,780000.0,Hyderabad,
Infoedge Ventures,,,,,30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Gurgaon,
First Cheque,,,,,30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Gurgaon,
Eximius,,,,,30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Gurgaon,
Misfits,,,,,30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Gurgaon,
Gokul Rajaram,,,,,Innovartan Learning Solutions,EdTech,Pre-seed Funding,5.0,Noida,
Amit Singhal,,,,,Innovartan Learning Solutions,EdTech,Pre-seed Funding,5.0,Noida,
Bizdateup,,,,,MOOEV Technologies,Electric Vehicles,Seed Funding,4.0,Chennai,
Spectrum Impact (Aarti Industries Family Office),,,,,MOOEV Technologies,Electric Vehicles,Seed Funding,4.0,Chennai,
JITO Incubation,,,,,Heliware,3D Geospatial Platform,Pre-Series A,4.0,Kolkata,
Innovation Foundation (JIIF),,,,,Heliware,3D Geospatial Platform,Pre-Series A,4.0,Kolkata,
TiE,,,,,Heliware,3D Geospatial Platform,Pre-Series A,4.0,Kolkata,
Vatvistaar Ventures,,,,,Heliware,3D Geospatial Platform,Pre-Series A,4.0,Kolkata,
Prajay Advisors LLP,,,,,Sushain Wellness,HealthTech,Seed Round,2.0,Lucknow,
European angel investors,,,,,Viraa Care,HealthTech,Pre-seed Round,108000.0,Chandigarh,
CanBank Venture Capital Fund,,,,,QubeHealth,Healthcare Payments,Pre-Series-A,,Mumbai,
Avataar Venture Partners﻿,,,,,Finova Capital,MSME-focused NBFC,Series E,135000000.0,Jaipur,
Sofina﻿,,,,,Finova Capital,MSME-focused NBFC,Series E,135000000.0,Jaipur,
Madison India Capital﻿,,,,,Finova Capital,MSME-focused NBFC,Series E,135000000.0,Jaipur,
and Norwest Venture Partners,,,,,Finova Capital,MSME-focused NBFC,Series E,135000000.0,Jaipur,
Norwest Venture Partners,,,,,Vridhi Home Finance,Housing finance company,Series B,310.0,Bengaluru,
Lighthouse Canton,,,,,Udaan,B2B platform,Debt Financing,300.0,Bengaluru,
Stride Ventures,,,,,Udaan,B2B platform,Debt Financing,300.0,Bengaluru,
Nexus Venture Partners,,,,,Zinc,Edu-wealth,Seed funding,25500000.0,Bengaluru,
EDBI,,,,,Zinc,Edu-wealth,Seed funding,25500000.0,Bengaluru,
Global Ventures,,,,,Zinc,Edu-wealth,Seed funding,25500000.0,Bengaluru,
and Saison Capital,,,,,Zinc,Edu-wealth,Seed funding,25500000.0,Bengaluru,
US International Development Finance Corporation,,,,,Arya.ag,Grain Commerce,Financing Round,19800000.0,Noida,
Incred,,,,,ARYA,GPS Renewables',Mezzanine financing,100.0,Bengaluru,
Spark Capital,,,,,ARYA,GPS Renewables',Mezzanine financing,100.0,Bengaluru,
Fundraising for climate,,,,,Avaana Capital,Climate & Sustainability Tech,New Fund,135000000.0,Mumbai,
sustainability tech startups,,,,,Avaana Capital,Climate & Sustainability Tech,New Fund,135000000.0,Mumbai,
NTTVC,,,,,Neysa,AI Cloud,Series A,30000000.0,Mumbai,
Z47 (formerly Matrix Partners India),,,,,Neysa,AI Cloud,Series A,30000000.0,Mumbai,
Founders Fund,,,,,Even Healthcare,Managed Care,Series A,30000000.0,Bengaluru,
8VC,,,,,Even Healthcare,Managed Care,Series A,30000000.0,Bengaluru,
Lachy Groom,,,,,Even Healthcare,Managed Care,Series A,30000000.0,Bengaluru,
Omnivore,,,,,Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bengaluru,
Bill & Melinda Gates Foundation,,,,,Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bengaluru,
500 Global,,,,,Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bengaluru,
Blue Ashva Capital,,,,,Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bengaluru,
Miledeep Capital,,,,,Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bengaluru,
LeapFrog Investments,,,,,Healthify,Health & Wellness,New Funding Round,20000000.0,Bengaluru,
Aavishkaar Group,,,,,Zouk,D2C Bags & Luggage,Series B,10000000.0,Mumbai,
Stellaris Venture Partners,,,,,Zouk,D2C Bags & Luggage,Series B,10000000.0,Mumbai,
Sharrp Ventures,,,,,Zouk,D2C Bags & Luggage,Series B,10000000.0,Mumbai,
JJ Family,,,,,Zouk,D2C Bags & Luggage,Series B,10000000.0,Mumbai,
Yaletown Partners,,,,,OLOID,Workplace Tech,Series A1,6000000.0,Bengaluru,
Exposition Ventures,,,,,OLOID,Workplace Tech,Series A1,6000000.0,Bengaluru,
George Kaiser Family Foundation,,,,,OLOID,Workplace Tech,Series A1,6000000.0,Bengaluru,
Carya Ventures,,,,,OLOID,Workplace Tech,Series A1,6000000.0,Bengaluru,
Ashish Kacholia,,,,,Yu,Consumer Food,Series B,55.0,Gurugram,
Asian Promoter Group,,,,,Yu,Consumer Food,Series B,55.0,Gurugram,
Dynamic IT Solution Private Limited (Subsidiary of Brainbees Solutions),,,,,GlobalBees Brands,E-commerce,Investment,4.5,New Delhi,
Ankit Khnadelwal,,,,,WishNew Wellness,Wellness,Angel Round,250000.0,New Delhi,
Gyanesh Sharma (DotPe),,,,,WishNew Wellness,Wellness,Angel Round,250000.0,New Delhi,
Abhijeet Rana,,,,,WishNew Wellness,Wellness,Angel Round,250000.0,New Delhi,
Ashish Singh,,,,,WishNew Wellness,Wellness,Angel Round,250000.0,New Delhi,
Abu Dhabi Investment Authority (ADIA),,,,,Purplle,Beauty & Personal Care,Series F,1500.0,Mumbai,
TPG’s The Rise Fund,,,,,Eruditus,EdTech,Series F,150000000.0,Singapore,
Smith Point Capital,,,,,Neuron7.ai,Cloud-based Service Intelligence,Series B,44000000.0,United States,
BEENEXT Capital,,,,,Haber Nets,AI-Driven Robotics,New Funding Round,38000000.0,Mumbai,
3one4 Capital,,,,,Everstage,Sales Performance Management Software,Series B,30000000.0,Chennai,
Edelweiss Discover Fund,,,,,GIVA,Jewelry,Extended Series B,255.0,Bengaluru,
Nikhil Kamath (Zerodha),,,,,Primus Senior Living,Elder Care,Seed Round,20000000.0,Bengaluru,
Gruhas,,,,,Primus Senior Living,Elder Care,Seed Round,20000000.0,Bengaluru,
ElectriFI,,,,,Sistema.bio,Biogas-Tech,New Funding Round,15000000.0,Pune,
Chroma Impact Investment,,,,,Sistema.bio,Biogas-Tech,New Funding Round,15000000.0,Pune,
KawiSafi Ventures,,,,,Sistema.bio,Biogas-Tech,New Funding Round,15000000.0,Pune,
AXA IM Alts,,,,,Sistema.bio,Biogas-Tech,New Funding Round,15000000.0,Pune,
Flourish Ventures,,,,,SPRY Therapeutics,SaaS - Physical Therapy,New Funding Round,15000000.0,Mumbai,
Fidelity’s Eight Roads,,,,,SPRY Therapeutics,SaaS - Physical Therapy,New Funding Round,15000000.0,Mumbai,
F-prime Capital,,,,,SPRY Therapeutics,SaaS - Physical Therapy,New Funding Round,15000000.0,Mumbai,
GIFT City Structure,,,,,Anicut Capital,Alternative Asset Management,Private Credit Fund 3,11000000.0,Chennai,
Puro Wellness,,,,,Troo Good,Millet-Based Snacks,New Funding Round,9000000.0,Hyderabad,
Oaks Asset Management,,,,,Troo Good,Millet-Based Snacks,New Funding Round,9000000.0,Hyderabad,
V Ocean Investments,,,,,Troo Good,Millet-Based Snacks,New Funding Round,9000000.0,Hyderabad,
Aditya Birla Digital Fashion Ventures Ltd (ABDFVL),,,,,WROGN,Men’s Apparel,New Funding Round,75.0,Bengaluru,
Rajan Bajaj (Founder & CEO),,,,,Slice,FinTech,New Funding Round,71.7,Bengaluru,
Shastra VC,,,,,Simplismart,Tech,Series A Round,7000000.0,Bengaluru,
Akshay Kothari (Notion Co-founder),,,,,Simplismart,Tech,Series A Round,7000000.0,Bengaluru,
Ashish Kacholia (Lucky Investments),,,,,XDLINX Space Labs,Spacetech,Seed Round,7000000.0,Hyderabad,
E2MC,,,,,XDLINX Space Labs,Spacetech,Seed Round,7000000.0,Hyderabad,
Mana Ventures,,,,,XDLINX Space Labs,Spacetech,Seed Round,7000000.0,Hyderabad,
Alphawave,,,,,Dezy,HealthTech,Additional Funding,6000000.0,Bengaluru,
Chiratae Ventures,,,,,Dezy,HealthTech,Additional Funding,6000000.0,Bengaluru,
Peak XV’s Surge,,,,,Dezy,HealthTech,Additional Funding,6000000.0,Bengaluru,
Reach Capital,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
ETS Capital,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
NB Ventures,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
TSM Ventures,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
TRTL Ventures,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
Not disclosed,,,,,Wokelo,Due Diligence Tech,New Funding Round,4000000.0,New Delhi,
Zephyr Peacock,,,,,AGNIT Semiconductors,Semiconductors,Seed Round,3500000.0,Bengaluru,
Gulf Islamic Investments (GII),,,,,Yoho,Footwear,New Funding Round,27.0,Delhi,
Debt Round,,,,,Red Fort Capital,NBFC,Debt Funding,22.6,Mumbai,
Yali Capital,,,,,Perceptyne,Deep Tech AI & Robotics,Seed Round,3000000.0,Telangana,
Lumikai,,,,,Frammer AI,Video Content Creation,New Funding Round,2000000.0,New Delhi,
Lumis Partners,,,,,Febi.ai,Accounting & Tax Management SaaS,Pre-Series A Round,2000000.0,Gurgaon,
Virender Rana,,,,,Febi.ai,Accounting & Tax Management SaaS,Pre-Series A Round,2000000.0,Gurgaon,
Amit Chaudhary (Lenskart),,,,,Febi.ai,Accounting & Tax Management SaaS,Pre-Series A Round,2000000.0,Gurgaon,
Rohan Bhargava (Cashkaro),,,,,Febi.ai,Accounting & Tax Management SaaS,Pre-Series A Round,2000000.0,Gurgaon,
We Founder Circle,,,,,Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,New Delhi,
Lets Venture,,,,,Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,New Delhi,
FAAD Capital,,,,,Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,New Delhi,
Angel Investors (Ankit Bhati,,,,,Tablesprint,No-Code App Builder,Seed Round,1000000.0,Pune,
Ajeet Khurana,,,,,Tablesprint,No-Code App Builder,Seed Round,1000000.0,Pune,
etc.),,,,,Tablesprint,No-Code App Builder,Seed Round,1000000.0,Pune,
Powerhouse Ventures,,,,,Holiday Tribe,Travel-Tech,Seed Round,5.4,Delhi,
GSF,,,,,Holiday Tribe,Travel-Tech,Seed Round,5.4,Delhi,
Dinesh Agarwal (IndiaMart),,,,,Holiday Tribe,Travel-Tech,Seed Round,5.4,Delhi,
Murugavel Janakiraman (BharatMatrimony),,,,,Holiday Tribe,Travel-Tech,Seed Round,5.4,Delhi,
Rohit Rajput,,,,,iRasus Technologies,Energy Analytics,Seed Round,4.0,Gurugram,
Srikar Reddy (IAN Angel),,,,,iRasus Technologies,Energy Analytics,Seed Round,4.0,Gurugram,
DFAN,,,,,iRasus Technologies,Energy Analytics,Seed Round,4.0,Gurugram,
Other Angel Investors,,,,,iRasus Technologies,Energy Analytics,Seed Round,4.0,Gurugram,
Zee Media,,,,,Flutrr,Vernacular Dating App,Investment in Startup,3.75,Kolkata,
Ivyleague Ventures,,,,,Social Hardware,Assistive Devices,Seed Round,3.2,Bengaluru,
Early Seed Ventures,,,,,Alchemyst AI,Gen-AI SaaS,Pre-Seed Round,300000.0,Mumbai,
Velocity (Cash Flow Financing Platform),,,,,Beaute Secrets,Beauty Tools,Cash Flow Financing,1.6,Gurugram,
Bharat Value Fund,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Millenium Babycares,Hygiene care,Private Placement Round,120.0,Indore,
Stakeboat Capital Fund II,,,,,Economy Process Solutions,Vacuum systems and process equipment,Series A,100.0,Mumbai,
Hindon Mercantil,,,,,Urja Mobility,EV Battery Leasing,Pre-Series A,100.0,New Delhi,
Mufin Green Finance,,,,,Urja Mobility,EV Battery Leasing,Pre-Series A,100.0,New Delhi,
Edaphon,,,,,Bio Prime,Agribiotech,Series A,6000000.0,Pune,
Inflexor,,,,,Bio Prime,Agribiotech,Series A,6000000.0,Pune,
Serica Angel Fund,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Swara Fincare,NBFC,Series A,19.4,New Delhi,
UC Impower,,,,,Swara Fincare,NBFC,Series A,19.4,New Delhi,
individual investors,,,,,Figr,Product Design,Series A,2250000.0,Bengaluru,
and Kalaari Capital,,,,,Figr,Product Design,Series A,2250000.0,Bengaluru,
3One4 Capital,,,,,ZenStatement,Finance Automation and Cash Flow Management,Investment Round,1620000.0,Bengaluru,
Boldcap VC,,,,,ZenStatement,Finance Automation and Cash Flow Management,Investment Round,1620000.0,Bengaluru,
Atrium Angels,,,,,ZenStatement,Finance Automation and Cash Flow Management,Investment Round,1620000.0,Bengaluru,
Roots Ventures,,,,,Sports For Life,Sports Academies,Seed Round,1100000.0,Bengaluru,
ML Tondon,,,,,Sports For Life,Sports Academies,Seed Round,1100000.0,Bengaluru,
Sons HUF,,,,,Sports For Life,Sports Academies,Seed Round,1100000.0,Bengaluru,
Equirus InnovateX Fund,,,,,Datazip,Data Engineering,Seed Round,1000000.0,Bengaluru,
Goel Group,,,,,Onlygood ai,,Seed Round,4.0,,
IIT Madras Incubation Cell (IITMIC),,,,,Onlygood ai,,Seed Round,4.0,,
and Daimler India Commercial Vehicles (DICV),,,,,Onlygood ai,,Seed Round,4.0,,
Grand Anicut,,,,,Waycool,Agriculture supply chain,Debt Financing,100.0,Chennai,
CE-Ventures,,,,,BASIC Home Loan,Mortgage distribution,Series B,10600000.0,Gurgaon,
9 Unicorns,,,,,BASIC Home Loan,Mortgage distribution,Series B,10600000.0,Gurgaon,
and others,,,,,BASIC Home Loan,Mortgage distribution,Series B,10600000.0,Gurgaon,
RPSG Capital Ventures,,,,,Lissun,HealthTech,Pre-Series A,2500000.0,Gurugram,
Om Jain,,,,,Zintlr,SaaS,Seed Round,1000000.0,Bengaluru,
India Accelerator,,,,,IG Drones,DroneTech,Seed Round,1000000.0,Delhi,
Samantha Prabhu,,,,,Secret Alchemist,Wellness,Seed Round,5000000.0,Mumbai,
Exfinity Venture Partners,,,,,Str8bat,SportsTech,Series A,3500000.0,Bengaluru,
IndiaQuotient,,,,,Furnishka,Manufacturing,Pre-Series A,3200000.0,Bengaluru,
VentureSoul Partners,,,,,True Balance,LendingTech,Debt,2400000.0,Gurugram,
Negen Capital,,,,,Digilogic Systems India,AeroSpace,Undisclosed Round,,Hyderabad,
Baring PE India,,,,,SanchiConnect,DeepTech,Undisclosed Round,,Noida,
Seafund,,,,,SanchiConnect,DeepTech,Undisclosed Round,,Noida,
8X,,,,,SanchiConnect,DeepTech,Undisclosed Round,,Noida,
Sachin Tendulkar,,,,,Sugar.fit,HealthTech,Strategic Round,,Bengaluru,
Binny,,,,,Curefoods Raises,Cloud Kitchen,,9600000.0,Bengaluru,
Jitender Kumar Bansal,,,,,Curefoods Raises,Cloud Kitchen,,9600000.0,Bengaluru,
360One Asset,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Qure.ai,HealthTech,Series D,65000000.0,Mumbai,
Wint Wealth,ronak@11hadvisors.com,IN/AIF3/23-24/1391,Category III,Ahmedabad,Care.fi,FinTech,Debt Funding,8.0,Bengaluru,
Caspian,,,,,Care.fi,FinTech,Debt Funding,8.0,Bengaluru,
General Catalyst﻿,,,,,Nurix AI,AI,Series A,27500000.0,Bengaluru,
and Meraki Labs,,,,,Nurix AI,AI,Series A,27500000.0,Bengaluru,
AUM Ventures,,,,,Sharang Shakti,RoboTech,Pre-Seed,,$0.7 million,
OrbiMed Asia,,,,,Kapiva,Ayurvedic,Series C,,$10 million,
Aeravti Ventures,,,,,Oright,LegalTech,Seed Round,,$1 million,
Girish Mathrubootham,,,,,jhana.ai,HRTech,Seed Round,,$1.6 million,
Strom Ventures,,,,,Atomicwork,BioTech,Seed Round,,$3 million,
Neon Fund,,,,,Atomicwork,BioTech,Seed Round,,$3 million,
Sinar Mas,,,,,AdOnMo,AdTech,Undisclosed Round,,25M,
Rigel Capital,,,,,AdOnMo,AdTech,Undisclosed Round,,25M,
Peak XV Partner’s accelerator program Surge,,,,,The Health Factory,FoodTech,Seed Round,,3.5M,
Hero Enterprise,,,,,Homelane,SaaS,Undisclosed Round,,27M,
Sweet Nectar Investments (Warburg Pincus),,,,,Whatfix,SaaS,Primary & Secondary Funding,100000000.0,,
SoftBank,,,,,Whatfix,SaaS,Primary & Secondary Funding,100000000.0,,
Taj Investment Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,M2P Fintech,API Infrastructure,Series C Round,417.5,,
International Finance Corporation,,,,,Onsurity,Healthcare - Employee Benefits,Series B Round,45000000.0,,
IFU,,,,,Redcliffe Labs,Diagnostics - Healthcare,Series C Round,42000000.0,,
LeapFrog,,,,,Redcliffe Labs,Diagnostics - Healthcare,Series C Round,42000000.0,,
HealthQuad,,,,,Redcliffe Labs,Diagnostics - Healthcare,Series C Round,42000000.0,,
Spark Growth Ventures,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Redcliffe Labs,Diagnostics - Healthcare,Series C Round,42000000.0,,
Uber,,,,,Everest Fleet,Mobility,Series C Round,251.7,,
ABC Impact,,,,,Aye Finance,Microlending,Series G Round,250.0,,
WestBridge Capital,,,,,Way2News,Hyperlocal News,New Round,14000000.0,,
Sashi Reddi,,,,,Way2News,Hyperlocal News,New Round,14000000.0,,
Rabo Partnerships B.V.,,,,,Kaleidofin,FinTech,New Round,13800000.0,,
Michael & Susan Dell Foundation,,,,,Kaleidofin,FinTech,New Round,13800000.0,,
Oikocredit,,,,,Kaleidofin,FinTech,New Round,13800000.0,,
Omidyar Network,,,,,Kaleidofin,FinTech,New Round,13800000.0,,
360 One Ventures,,IN/AIF1/17-18/0321,Category I,,DailyObjects,D2C - Tech Accessories,New Funding Round,86.0,,
Beenext,,,,,e6data,Data Infrastructure,New Round,10000000.0,,
Gaingels,,,,,Vahan.ai,Blue Collar Recruitment,Series B Round,10000000.0,,
Orios Ventures,,,,,NowPurchase,SaaS,Equity & Debt Round,6000000.0,,
100 Unicorns,,,,,NowPurchase,SaaS,Equity & Debt Round,6000000.0,,
Pravega Fund,,,,,GrayQuest,FinTech,Series B Round,53.0,,
IIFL Fintech Fund,,,,,GrayQuest,FinTech,Series B Round,53.0,,
Ultrahuman Founders,,,,,Schmooze,Dating App,New Round,4000000.0,,
The Souled Store Founders,,,,,Schmooze,Dating App,New Round,4000000.0,,
Paytm Founders,,,,,Schmooze,Dating App,New Round,4000000.0,,
Kuldeep Mathur,,,,,Proxgy,Deeptech - Smart Assistance,Funding Round,2200000.0,,
Dallas Venture Capital,,,,,Bluecopa,FinOps Automation,Pre-Series A,1800000.0,,
Family Office,,,,,Newmi Care,Women's Health & Wellness,Seed Round,1500000.0,,
LetsVenture,,,,,Newmi Care,Women's Health & Wellness,Seed Round,1500000.0,,
Sarcha Advisors,,,,,Newmi Care,Women's Health & Wellness,Seed Round,1500000.0,,
Key Ventures,,,,,Newmi Care,Women's Health & Wellness,Seed Round,1500000.0,,
Cricketer Rishabh Pant,,,,,TechJockey,Software Marketplace,Strategic Stake Acquisition,7.4,,
Founders of redBus,,,,,Billion Hearts Software Technologies,Tech,Angel Round,250000.0,,
Ola,,,,,Billion Hearts Software Technologies,Tech,Angel Round,250000.0,,
InMobi,,,,,Billion Hearts Software Technologies,Tech,Angel Round,250000.0,,
Myntra,,,,,Billion Hearts Software Technologies,Tech,Angel Round,250000.0,,
Prajay Advisors,,,,,Kaatil,Hot Condiments,Seed Round,,,
Shivaan Ghai,,,,,Kaatil,Hot Condiments,Seed Round,,,
Romil Ratra,,,,,Kaatil,Hot Condiments,Seed Round,,,
Hornbill Capital,,,,,PhysicsWallah,EdTech,Series B,210000000.0,,
Westbridge Capital,,,,,PhysicsWallah,EdTech,Series B,210000000.0,,
and Lightspeed Venture Partners,,,,,PhysicsWallah,EdTech,Series B,210000000.0,,
