Name,Title,Company,Website,WhatsApp,Phone,Contact Form URL,Status,Notes,Technology Need Signal,Source,Date Found
,,Aslan Energy Capital (Aslan Jakarta Data Centre / JIEP JV),https://www.aslanec.com/,,,https://www.aslanec.com/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","Signed a binding Heads of Agreement with JIEP to build the 40MW Aslan Jakarta Data Centre, a Tier 4 hyperscale colocation facility for 7,000 racks, explicitly designing hybrid air-cooled heat rejection to cut cooling-tower water use -- a live cooling-technology decision point, targeted Q4 2027",https://www.prnewswire.com/apac/news-releases/aslan-energy-capital-and-jiep-sign-heads-of-agreement-to-develop-east-jakartas--renewable-powered-hyperscale-data-center-302481722.html,2026-09-09T07:25:08+00:00
,,SEAX Global (PT SEAX Indonesia Pratama),https://seax.net/,,,https://seax.net/contact-us/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","Acquired an 8,400 sqm site in BSD Technopark, South Tangerang for a new dual-phase data center campus with a minimum 30MVA total power demand across 4-8 data halls -- its first data center build, still selecting infrastructure partners",https://www.datacenterdynamics.com/en/product-news/seax-global-completes-acquisition-of-data-center-campus-in-jakarta/,2026-09-09T07:25:08+00:00
,,BINUS University (AI R&D Center),https://research.binus.ac.id/airdc/,,,https://binus.ac.id/contact-us/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","BINUS University's AI R&D Center operates the BINUS Supercomputing Cluster with 11,712 NVIDIA GPUs (Tesla/GeForce) reaching 25.78 teraFLOPS for genomics and deep learning research -- a high-density GPU deployment run out of a university facility",https://research.binus.ac.id/airdc/2023/01/binus-supercomputing-cluster-at-ai-rd-center/,2026-09-09T07:25:08+00:00
,,Intiland (DC Land),https://investor.intiland.com/,,,https://investor.intiland.com/ir-contact/,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","DC Land Surabaya data center (3MW live, targeting 30MW expansion) launched Feb 2026 by Intiland/ION Network JV.",https://ekonomi.bisnis.com/read/20260206/47/1950875/intiland-dild-luncurkan-data-center-land-di-surabaya-berkapasitas-3mw,2026-09-10T07:21:59+00:00
,,Matrix NAP Info,https://napinfo.co.id/,,,https://napinfo.co.id/contact-us,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need",Matrix NAP Info / Digital Realty Bersama partnership strengthening Jakarta data center interconnection for AI/cloud growth.,https://napinfo.co.id/highlights/article/id/matrix-nap-info-jalin-kerja-sama-strategis-dengan-digital-realty-bersama-untuk-perkuat-ekosistem-infrastruktur-digital-nasional,2026-09-10T07:21:59+00:00
,,Bank Central Asia (BCA),https://www.bca.co.id/,,,https://www.bca.co.id/en/tentang-bca/Hubungan-Investor,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","BCA is building a new data center in Cikarang, targeted fully operational in 2025, part of a reported 4-location data center network supporting 150 million transactions/day (per kumparan.com companion report).",https://www.liputan6.com/saham/read/5467651/data-center-bca-bakal-beroperasi-pada-2025,2026-09-10T07:22:20+00:00
,,Nongsa Digital Park (Citramas Group),https://nongsadigital.com/,,,https://nongsadigital.com/contact-us/,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","NDP1 facility at Nongsa Digital Park (Batam) is designed for high-density enterprise, cloud, and AI workloads, with planned IT capacity of 120MW.",https://nongsadigital.com/dc-hub-ndp/8-data-centre-infrastructure-nongsa-digital-park,2026-09-10T07:22:20+00:00
Fetra Syahbana,Country Manager Indonesia,TrendAI (Trend Micro),https://www.trendmicro.com/en_id/business.html,,,https://www.trendmicro.com/en_us/business/get-info-form.html,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","TrendAI launched a new local data center in Jakarta (live July 1, 2026) hosting its AI-powered Vision One cybersecurity platform, serving 135+ OJK-regulated banks plus telecom and government entities in Indonesia; named Country Manager Fetra Syahbana quoted in coverage.",https://newsroom.trendmicro.com/2026-08-04-TrendAI-TM-Expands-Data-Center-Capabilities-to-Strengthen-Indonesias-AI-and-Cyber-Resilience,2026-09-10T07:22:20+00:00
,,Allo Bank Indonesia,https://www.allobank.com/,,,https://www.allobank.com/about-us/investor-relations,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","Allo Bank separated its infrastructure from parent Bank Mega and launched its own dedicated, TIA Rated-3 certified data center in May 2024.",https://tiaonline.org/942-datacenter/pt-allo-bank-indonesia-tbk-data-center-allo-bank/,2026-09-10T07:22:20+00:00
,,"PT Infra Fiber Teknologi (RAIA Grid, Indosat-Arsari Group JV)",https://www.infrafiber.co.id/,,,https://www.infrafiber.co.id/,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","IFT's RAIA Grid platform is building a domestic NVIDIA GPU assembly facility near Jakarta (targeting ~140-150 GB300/H300 GPU units, $22M capex, live Dec 2026) as part of its AI digital infrastructure buildout.",https://www.datacenterdynamics.com/en/news/indosats-infra-fiber-teknologi-spin-off-launches-ai-ready-raia-grid/,2026-09-10T07:22:20+00:00
,,ByteDance (TikTok/Tokopedia/Lemon8/CapCut Indonesia infrastructure),https://www.byteplus.com/,,,https://www.byteplus.com/en/contact,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","ByteDance signed an MOU with BP Batam (April 21, 2026) for a $2.3B, 200MW AI data center in the Nongsa SEZ to serve TikTok, Tokopedia, Lemon8, and CapCut compute workloads for Indonesia/SEA users.",https://rri.co.id/sintang/iptek/2527036/bytedance-bangun-pusat-data-ai-rp37-triliun,2026-09-10T07:22:20+00:00
,,Microsoft Indonesia,https://www.microsoft.com/id-id/,,,https://azure.microsoft.com/id-id/contact,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","Microsoft opened its first Indonesia Azure cloud region ('Indonesia Central') as part of a $1.7B four-year investment in cloud and AI infrastructure, its largest investment in Microsoft Indonesia's 29-year history.",https://news.microsoft.com/id-id/2025/05/27/microsoft-opens-indonesia-central/,2026-09-10T07:22:20+00:00
,,Google Cloud Indonesia,https://cloud.google.com/,,,https://cloud.google.com/contact,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","Google Cloud expanded AI-ready data center capacity in its Jakarta cloud region (May 2025) with Equinix, part of a $1.7B four-year Indonesia cloud/AI infrastructure investment.",https://www.intelligentcio.com/apac/2025/05/16/google-cloud-expands-ai-ready-data-center-capacity-in-jakarta-reinforcing-commitment-to-advancing-indonesias-ai-powered-future/,2026-09-10T07:22:20+00:00
,,Bank Syariah Indonesia (BSI),https://www.bankbsi.co.id/,,,https://ir.bankbsi.co.id/ir_contact.html,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","BSI is building 'AI Gateway' computing infrastructure targeted for completion in 2026 to support internal AI applications and prevent shadow AI use, per its AI Strategy & Innovation Department Head at the Indonesia Ethical AI Summit (June 2026).",https://teknologi.bisnis.com/read/20260617/84/1981304/bsi-bris-targetkan-infrastruktur-ai-gateway-rampung-tahun-ini,2026-09-10T07:22:20+00:00
,,"Ditjen Dukcapil, Kemendagri (Data Center Ampera)",https://dukcapil.kemendagri.go.id/,,,https://dukcapil.kemendagri.go.id/page/read/layanan-pengaduan,pending,"Attempted 2026-09-10T07:24:33Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.bca.co.id, investor.intiland.com, and the generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue, consistent with the last several batches). Not a code bug - left as pending, need","Ditjen Dukcapil is building a Tier 3 data center ('Data Center Ampera') at the IPDN campus on Jalan Ampera, Jakarta, as backbone infrastructure for national population-data digital services, alongside expanded biometric servers and storage capacity.",https://nirmedia.co/dukcapil-hadapi-tantangan-2026-dengan-penguatan-digitalisasi-dan-integritas/,2026-09-10T07:22:20+00:00
Jimmy Kadir,Direktur Utama & CEO,Moratelindo,https://www.morarepublic.co.id/,,,https://www.morarepublic.co.id/contact,pending,"Attempted 2026-09-11T07:26:51Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.morarepublic.co.id:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with prior batches). Not a code bug - left as pending, needs retry from a session/environment without this restriction.",Merger with MyRepublic Indonesia combines six data centers (3.3MW) and fiber infrastructure to scale digital infrastructure buildout,https://www.morarepublic.co.id/our-company/news/moratelindo-dan-my-republic-indonesia-umumkan-merger-untuk-percepatan-dan-pemerataan-ekosistem-digital-di-indonesia,2026-09-11T07:24:36+00:00
Dian Siswarini,President Director & CEO,XL Axiata,https://www.xlaxiata.co.id/,,,https://www.xlaxiata.co.id/en/contact-us,pending,"Attempted 2026-09-11T07:26:51Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.morarepublic.co.id:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with prior batches). Not a code bug - left as pending, needs retry from a session/environment without this restriction.",PDG to invest $100M expanding capacity of XL Axiata data center portfolio (5 sites) as JV; XL retains 30% stake,https://www.datacenterdynamics.com/en/news/princeton-digital-group-to-acquire-majority-stake-in-xl-axiatas-indonesian-data-centers/,2026-09-11T07:24:36+00:00
Djony Bunarto Tjondro,President Director,PT Astra International Tbk,https://www.astra.co.id/,,,https://www.astra.co.id/en/contact-us,pending,"Attempted 2026-09-11T07:26:51Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.morarepublic.co.id:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with prior batches). Not a code bug - left as pending, needs retry from a session/environment without this restriction.",JV with Equinix to build/expand AI-ready JK1 data center capacity in Jakarta,https://newsroom.equinix.com/2023-04-11-Equinix-and-Astra-Form-a-Joint-Venture-to-Support-Indonesias-Growing-Digital-Needs,2026-09-11T07:24:36+00:00
Hashim Djojohadikusumo,Founder & Chairman,Arsari Group,https://www.arsari.co.id/,,,https://www.arsari.co.id/id/contact-us/,pending,"Attempted 2026-09-11T07:26:51Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.morarepublic.co.id:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with prior batches). Not a code bug - left as pending, needs retry from a session/environment without this restriction.","Launched RAIA Grid (JV with Indosat via PT Infra Fiber Teknologi) including a US$22M domestic NVIDIA GPU assembly facility in Cikarang targeting ~140-150 H300 GPU units by December 2026, serving hyperscalers/telcos/cloud providers needing high-density computing infrastructure; Deputy CEO Aryo Djojohadikusumo confirmed the December 2026 GPU assembly start",https://indonesiabusinesspost.com/7226/corporate-affairs/arsari-group-and-indosat-partner-with-nvidia-to-launch-domestic-ai-gpu-assembly-by-late-2026,2026-09-11T07:24:43+00:00
Ronald Setiawan,Managing Director,IndoData Data Center (Salim Group),https://www.indokeppeldc.com/,,,https://www.indokeppeldc.com/contact-us/,pending,"Attempted 2026-09-11T07:26:51Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.morarepublic.co.id:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with prior batches). Not a code bug - left as pending, needs retry from a session/environment without this restriction.","Salim Group took full ownership of the Bogor data center campus (formerly IndoKeppel), securing up to 500MW of power capacity under contract with PLN, and completed an additional 6MW of IT load for an existing hyperscale customer, positioning for built-to-suit AI/hyperscale facilities",https://www.datacenterdynamics.com/en/news/salim-group-buys-out-keppels-share-of-indonesian-data-center-venture/,2026-09-11T07:24:43+00:00
Ahmad Yani,President Director,Pertamina Geothermal Energy (PGEO),https://www.pge.pertamina.com,,,https://www.pge.pertamina.com/en/contact,pending,,"Finalizing a pilot 'green data center' project in Kamojang, West Java, powered by a dedicated geothermal plant, to supply electricity/hosting for data center and AI workloads",https://www.pge.pertamina.com/en/press-release/initiating-geothermal-industrialization-pge-explores-opportunities-to-develop-indonesia-s-first-geothermal-based-green-data-center,2026-09-11T19:10:55+00:00
,Corporate Secretary,Dian Swastatika Sentosa (DSSA / Sinar Mas),https://dssa.co.id,,,https://dssa.co.id/en/contact,pending,,"Building the Jakarta SMX01 Tier-IV, AI-ready data center hub (initial 18MW) in Jakarta's CBD via subsidiary DSST Mas Gemilang, targeting expansion from ~10MW to 43MW by end-2026 and up to 1GW long-term",https://swa.co.id/read/471032/dian-swastatika-sentosa-dssa-memacu-diversifikasi-usaha-mulai-dari-akal-imitasi-ai-panas-bumi-konektivitas-digital-dan-data-center,2026-09-11T19:10:55+00:00
Muhammad Arif,President Director,Sinergi Inti Andalan Prima (INET) / PT Sinergi Inti Data Indonesia (SIDI),https://siapnetworks.co.id,,,https://siapnetworks.co.id/contact/,pending,,"Launched SIDI JKT01 data center at Cyber 1 Building, Jakarta (Aug 2026, ~200 racks) and is preparing a 180-200 hectare green data center project in Purwakarta, targeted to start operating Q3 2026",https://www.idnfinancials.com/news/61617/inets-subsidiary-is-set-to-build-data-centre-in-purwakarta,2026-09-11T19:10:55+00:00
,Corporate Secretary,"NexAI Digital Infrastruktur (MGLV, formerly Panca Anugrah Wisesa)",http://pancaanugrahwisesa.com,,,http://pancaanugrahwisesa.com/?page=contact-us,pending,,Pivoted entirely from furniture trading to AI data center services after acquisition by PT Nextier Datamate Center; approved a rights issue of up to 285.7M shares and acquired PT Nextier Askara Center and PT Nextier GenAi Center to build AI data center infrastructure,https://finance.detik.com/energi/d-8655368/mglv-resmi-jadi-pemain-ai-data-center,2026-09-11T19:10:55+00:00
Christofer Alexander Uktolseja,Corporate Secretary,Bakrie & Brothers (BNBR),https://bakrie-brothers.com,,,https://bakrie-brothers.com/contact/,pending,,"Shifting its IT infrastructure business from telecom towers/fiber to data centers; affiliate PT Multi Kontrol Nusantara acquired a 1.67-hectare plot in Kalideres, Jakarta Barat (Rp500B) for an in-city data center, funded via a planned rights issue",https://katadata.co.id/finansial/korporasi/69a19326ed8d2/bakrie-brothers-bnbr-cari-mitra-untuk-bangun-data-center-di-jakarta,2026-09-11T19:10:55+00:00
,Corporate Communications,PT iForte Solusi Infotek (Protelindo / Sarana Menara Nusantara group),https://www.iforte.id,,,https://www.iforte.id/contact,pending,,"Shareholders approved (May 2026) iForte's expansion into data center/computing infrastructure and hosting, with an initial ~10MW IT load phased build-out backed by Rp1.47 trillion of a Rp2.07 trillion group capex plan",https://stockwatch.id/towr-siapkan-capex-rp2-triliun-protelindo-dan-iforte-mulai-garap-panel-surya-hingga-data-center/,2026-09-11T19:10:55+00:00
Dr. Adila A. Krisnadhi,"Director, Tokopedia-UI AI Center of Excellence",Universitas Indonesia - Fasilkom (Tokopedia-UI AI Center),https://tokopedia-ai.cs.ui.ac.id,,,https://tokopedia-ai.cs.ui.ac.id/,pending,,"Operates Indonesia's first AI/deep-learning research center built around an NVIDIA DGX-1 supercomputer, hosted at Fasilkom UI, a high-density GPU compute facility",https://tokopedia-ai.cs.ui.ac.id/,2026-09-11T19:10:55+00:00
,,Komdigi,https://www.komdigi.go.id,,,https://www.komdigi.go.id/lainnya/hubungi-kami,pending,,"PDN Cikarang national data center, 20MW expandable to 80MW, Tier-4, water-cooled.",https://katadata.co.id/digital/teknologi/6815c63429082/pusat-data-nasional-beroperasi-juni-berikut-kecanggihan-dan-fungsinya,2026-09-11T19:34:13+00:00
,,GoTo Group,https://www.gotocompany.com,,,https://www.gotocompany.com/en/contact-us,pending,,5-year cloud infrastructure agreements with Tencent Cloud and Alibaba Cloud to expand Indonesia data/cloud infrastructure.,https://www.gotocompany.com/en/news/press/goto-group-tencent-cloud-and-alibaba-cloud-sign-agreement-to-boost-cloud-infrastructure-and-nurture-local-digital-talent-in-indonesia,2026-09-11T19:34:13+00:00
,,Bank Mandiri,https://www.bankmandiri.co.id,,,https://www.bankmandiri.co.id/en/kontak,pending,,New Mandiri Digital Tower IT/data-center hub; Rp3T 2025 IT capex for infrastructure.,https://investor.id/finance/373950/resmikan-mandiri-digital-tower-menteri-bumn-perkuat-data-center-untuk-digitalisasi-bumn,2026-09-11T19:34:13+00:00
,,Telkomsel (PT Telekomunikasi Selular),https://www.telkomsel.com,,,https://www.telkomsel.com/support/contact-us,pending,,Enterprise-grade generative AI integration with Google Cloud; ongoing AI/cloud infrastructure expansion.,https://www.telkomsel.com/en/about-us/news/telkomsel-transforms-operations-and-product-offerings-google-clouds-enterprise-gen-ai,2026-09-11T19:34:13+00:00
,,Telkom Indonesia,https://www.telkom.co.id,,,https://www.telkom.co.id/sites/about-telkom/en_US/page/contact-detail,pending,,Hyperscale NeutraDC Nxera Batam data center buildout to support AI ecosystem.,https://www.telkom.co.id/sites/berita/id_ID/news/telkomgroup-siap-operasikan-hyperscale-data-center-neutradc-nxera-batam-dukung-ekosistem-ai-3387,2026-09-11T19:34:13+00:00
Prof. Widodo,Rektor (Rector),Universitas Brawijaya,https://www.ub.ac.id,,,https://www.ub.ac.id/en/contact/,pending,"Attempted 2026-09-12T07:16:55Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.ub.ac.id:443 and www.google.com:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with every prior batch). Not a code bug - left as pending, needs retry from a session/environment without this r",AI Center with NVIDIA DGX A100 supercomputer (5 petaFLOPS) for cross-disciplinary AI research,https://www.itworks.id/71583/universitas-brawijaya-resmikan-ai-center.html,2026-09-12T07:13:09+00:00
Prof. Suyanto,Rektor (Rector),Telkom University,https://telkomuniversity.ac.id,,,https://telkomuniversity.ac.id/en/contact/,pending,"Attempted 2026-09-12T07:16:55Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.ub.ac.id:443 and www.google.com:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with every prior batch). Not a code bug - left as pending, needs retry from a session/environment without this r",Operates NVIDIA DGX A100 AI supercomputer and Artificial Intelligence Center (AIC),https://neucentrix.hk/telkom-is-the-first-user-of-the-most-advanced-ai-supercomputer-nvidia-dgx-a100-in-indonesia/,2026-09-12T07:13:09+00:00
Prof. Ir. Bambang Pramujati,Rektor (Rector),ITS,https://www.its.ac.id,,,https://www.its.ac.id/contact/,pending,"Attempted 2026-09-12T07:16:55Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.ub.ac.id:443 and www.google.com:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with every prior batch). Not a code bug - left as pending, needs retry from a session/environment without this r",Launched NVIDIA DGX-A100 AI supercomputer (Feb 2025) via Center of AI and Digital Technology (AIDT),https://www.its.ac.id/komputer/id/launching-nvidia-dgx-a100-artificial-intelligence-supercomputer-2/ai-supercomputer-2/,2026-09-12T07:13:09+00:00
Prof. Dr. E.S. Margianti,Rektor (Rector),Universitas Gunadarma,https://www.gunadarma.ac.id,,,https://www.gunadarma.ac.id/kontak-kami/,pending,"Attempted 2026-09-12T07:16:55Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.ub.ac.id:443 and www.google.com:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with every prior batch). Not a code bug - left as pending, needs retry from a session/environment without this r",Operates NVIDIA DGX-1 and DGX A100 supercomputers via dedicated HPC/DGX development hub,https://www.hpc-hub.gunadarma.ac.id/,2026-09-12T07:13:09+00:00
Dr. Irdika Mansur,Head of Advanced Research Laboratory (ARLab),IPB University,https://www.ipb.ac.id,,,https://www.ipb.ac.id/page/contact-us/,pending,"Attempted 2026-09-12T07:16:55Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403 for www.ub.ac.id:443 and www.google.com:443; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT', confirming a session-wide policy block, not a site-specific issue, consistent with every prior batch). Not a code bug - left as pending, needs retry from a session/environment without this r",ARLab operates an NVIDIA DGX A100 supercomputer for AI model development,https://www.ipb.ac.id/news/index/2023/09/ipb-university-has-nvidia-dgx-a100-supercomputer-with-highest-performance-technology-in-indonesia/,2026-09-12T07:13:09+00:00
,,Elitery,https://elitery.com,,,https://elitery.com/contact-us/,pending,"2026-09-14 dual-channel-backup run: NOT attempted. This session's network egress policy blocked outbound CONNECT (agentproxy status showed repeated connect_rejected / 403-to-CONNECT, e.g. to www.google.com, moments before this batch) -- same root cause documented for Playwright/WebFetch in this environment. No navigation was performed and no fields were filled or guessed. Left as pending for retry in a session where egress isn't blocked.",Tier III certified data center in Bogor; regional AI/cloud expansion,https://baxtel.com/data-center/elitery-bogor,2026-09-12T20:04:04+00:00
Saberi Bakar,"Head of Indonesia, Keppel Data Centres",IndoKeppel Data Centres,https://www.keppeldatacentres.com/locations/asia-pacific/indonesia/indokeppel-data-centre-1/,,,https://www.keppeldatacentres.com/contact/,pending,,"7-hectare, multi-phase carrier-neutral colocation campus (IKDC1) in Bogor built to Tier 3 concurrent-maintainability power AND cooling standards for hyperscale cloud/enterprise tenants; no verifiable published email found, only a contact form",https://w.media/indokeppel-sees-significant-data-center-opportunities-in-indonesia/ and https://new.abb.com/news/detail/81588/abb-supports-growth-of-indonesian-colocation-market-with-indokeppel-data-center-project,2026-09-12T20:04:04+00:00
,,IDCloudHost,https://idcloudhost.com,,,https://idcloudhost.com/en/contact/,pending,"2026-09-14 dual-channel-backup run: NOT attempted. This session's network egress policy blocked outbound CONNECT (agentproxy status showed repeated connect_rejected / 403-to-CONNECT, e.g. to www.google.com, moments before this batch) -- same root cause documented for Playwright/WebFetch in this environment. No navigation was performed and no fields were filled or guessed. Left as pending for retry in a session where egress isn't blocked.",Multi-location data center architecture with GPU-power dedicated servers for AI workloads,https://arenalte.com/life/teknologi/idcloudhost-dedicated-server-arsitektur-data-center-multi-lokasi/,2026-09-12T20:04:04+00:00
,,Link Net,https://www.linknet.co.id,,,https://linknet.co.id/contact-us,pending,"2026-09-14 dual-channel-backup run: NOT attempted. This session's network egress policy blocked outbound CONNECT (agentproxy status showed repeated connect_rejected / 403-to-CONNECT, e.g. to www.google.com, moments before this batch) -- same root cause documented for Playwright/WebFetch in this environment. No navigation was performed and no fields were filled or guessed. Left as pending for retry in a session where egress isn't blocked.","New Surabaya data center + upgraded Jakarta facility, TIA942-A Rate 2+, N+1 power/cooling redundancy",https://www.linknet.co.id/en/newsroom/article/link-net-dan-zte-bangun-data-center-baru-di-surabaya,2026-09-12T20:04:04+00:00
,,Siloam Hospitals,https://www.siloamhospitals.com,,,https://www.siloamhospitals.com/hubungi-kami,pending,"2026-09-14 dual-channel-backup run: NOT attempted. This session's network egress policy blocked outbound CONNECT (agentproxy status showed repeated connect_rejected / 403-to-CONNECT, e.g. to www.google.com, moments before this batch) -- same root cause documented for Playwright/WebFetch in this environment. No navigation was performed and no fields were filled or guessed. Left as pending for retry in a session where egress isn't blocked.",Local (non-cloud) AI foundation model training on clinical data for data sovereignty,https://healthtechasia.co/technology-should-support-clinical-judgement-not-replace-it-inside-siloams-hospital-of-the-future/,2026-09-12T20:04:04+00:00
